79,3，2，1前奏我一直以为有的[大哭][大哭]
80,2016年除夕  你说有可能  然后2017年过去了  2018年也过去了   还是没有可能
81,高中的时候有个女孩哼啥，傻到我一辈子忘不了，傻到分手时连头也不敢回，傻到我永远也无法企及，希望她幸福，希望她不再记得我
82,有没有一种感觉，你打字的时候下面突然出现了一些很熟悉的字眼！于是你整天都陷入了回忆当中……
83,我一般只用网易云耶
84,我后来看懂了，唉！是真的啊，好伤心。你只用网易云音乐么，狗狗用不用
85,你经常打一些词，比如说你喜欢的人的名字，久了之后只要你打出那个人名字拼音的首字母就会出来他的名字。即便你不喜欢那个人了，输入法里还是会帮你记得他
86,一门心思对你好你却不珍惜  到现在还忘不了你  我是有多么没用呀
87,后来，原来真的会有喜欢却不能在一起的人；后来，原来你真的会删掉一个你真的很喜欢很喜欢的男孩子
88,我已经听懂了。哈哈哈！
89,我也是 真心祝福他
90,是真的，可能对方也无奈，无法开口
91,真的学会了？
92,我想拉一个群 没有小广告 也没有小程序 就一群漂泊网易云的人聚在一块 每天分享一首喜欢的歌  民谣什么都可以的 你点赞 我私你
93,我真的爱过你，你呢
94,好羡慕那个男生，祝你们幸福
95,我喜欢你啊  小学同学 黎文康    可是我配不上你     但喜欢你的事我会一直偷偷藏着没人知道的
96,懂了
97,如果能重来，我肯定不会放开你的手，我肯定不会不联系你，可是……
98,什么意思
99,忘记一个人需要两样东西，时间和新欢。时间够长，或者，新欢够好，只是，这样的话，你们就再也没有了后来。
100,但希望你能幸福.
101,"有没有谁
一边翻评论一边哭                                  就像我一样。"
102,于嗟女兮，无与士耽。
103,我真心祝福你永远都听不明白。
104,你走之后，那段路我一个人又走了无数遍，只是，再也不觉得路上的我很美，路旁的人很和善。
105,我看三眼
106,都说出场顺序重要，其实珍惜更重要。
107,早知道那是我们最后一次见面，我一定会多看你两眼。
108,其实有些时候，能留下一个美好的回忆也不错了[流泪]
109,是啊，明明都相爱，却总有那么多不能在一起的理由
110,李亚楠，爱过你，回不去了，那五年是我这一生最幸福的时光。
111,后来，我认清了自己，可是，他，已经不在原地了
112,单曲循环了好久 好想在未来的某天放过这首歌 也放过自己 
113,于嗟鸠兮，无食桑葚
114,该不该带着笑
115,扛精
116,咱俩前后差一天[开心]
117,看到你的名字，果断点赞
118,"越是缺乏安全感的人，越是很难开口去要求什么
习惯了希望落空，慢慢习惯了不开口
明明想要一个拥抱，却不愿意说
偏偏装作要走的样子
明明爱得毫无保留，开口就变成了：不如我们算了吧"
119,有些菜热一次味道会更好！
120,歌手刘若英在年少的时候爱上了一个不该爱的人，当她成熟后才发现自己是觉得那个人真的很重要！
121,你不懂事，我懂！
122,是吧当时看后来的我们我心里都还是他我怎么可能和你有后来
123,不在啦不在啦
124,南京这个地方真的好好到没有感情
125,"关于这首歌的故事，人名我忘了，
我只记得那天大雨倾盆-
还有那一路，雨水混着泪水的自己"
126,爱而不得的痛，靠自己治愈。
127,初闻不知曲中意，在听已是曲中人，听闻爱情，十有九悲[心碎]
128,我从未想过有一天我会想你想到哭💔
129,要遵守诺言喔。
130,明晚早睡[呆]
131,你怕是不知道回锅肉
132,舍友说其实舔狗换个说法就是一往情深，是啊，如果不是一往情深，谁愿意当舔狗呢？黄澄媛，我这次真的真的下定决心要离开你了，跑的远远的，腿跑断都不会回头了，那个爱着你的男孩，终于死心了。
133,才更好吃
134,陌生人 对自己好一点 晚安 
135,出场顺序真的很重要
136,秀儿
137,我是真的很想你
138,"和声编写 光良
和声  梁静茹
😱😱😱😱"
139,小胡同学，我只有在醉了的时候才敢提起你啊
140,高中三年，始终还是没有说出那句话，从你在我后桌开始的互相了解，到分班之后我故意遇见你的一个招呼，让我一天充满力量，到毕业后离开的落寞，我始终还是没有说出那句话，也许是真的害怕吧，就这样做个朋友到结束，也挺好，不是吗？
141,和声：梁静茹[呆]
142,又一次的 失去了你 可能以后我们都见不了了
143,后来 ，我对你的爱已不是爱，而是一种得不到的执着
144,后来，我终于不喜欢你了 不会再为你难过了 不会再因为你不开心而想尽所有办法来让你开心了 我也会走出抑郁的
145,这辈子，可能再也遇不到那么单纯的爱情了吧，
146,搜索号码  目光呆滞  返回🔙
147,后来啊 哪有什么后来
148,272day
149,怎么办 好像已经开始想念了
150,早些睡，陌生人。
151,你漂亮了[多多大笑]
152,错过了太多人，太多机会，但是这个社会让我成熟了，愿以后不会错过对的人，错过机会
153,早些睡觉，陌生人
154,"十七岁的冬天
你吻我的那个夜晚"
155,2017年树底下的少年，你还在，可为什么感觉跟之前不一样，
156,后来，不知道是我错过了你，还是你错过了我。
157,"晚安
宝贝
照顾好自己
不要再熬了
相信吧
你喜欢的那个人正在梦里等你。"
158,我不想有后来 我还不想错过你
159,后来，总归是无可预测的，好好享受现在😊吧
160,"后来～生死也看淡～我的前半生有爱过的么？爱过我的？有么？都特么扯淡除了自己找自己不痛快没什么了～你爱的和爱你的都错过了都嫁为人妻了～只剩下自己孤独相伴～。
好多年没接触女生了。好久没说出爱这个字了。安安静静上班下班吃饭睡觉！都已习惯了。"
161,"这首歌其实很早就喜欢听，过了好多年，可是到今天才真正发现这首歌的每句歌词都是我经历的，[心碎][心碎][心碎]
其实吧，说句实话，如果真的互相相爱，一定要珍惜，如果你不爱她（他），也喜欢你能在两个人在一起的时候不要伤害她（他）[爱心][爱心][爱心]"
162,还好我的坚持把你拽了回来，让我不曾错过你
163,愿所有人被这个世界温柔以待
164,愿你被这个世界温柔以待
165,我懂你的苦衷 我理解你的难处 我也尊重你这样对我的理由 没关系 我没有生气 我只是很失望
166,有一个女孩爱着那个女孩
167,会好的
168,好啊
169,晚安了
170,等你
171,没有什么念念不忘 也没有必有回响 最后就悄悄祝你 万事胜意 我听说 万事胜意这个词 只能对最喜欢的人说 
172,我们的谈话越来越简短，话题越来越简单，你不再问我在干嘛，我也不再说想你，没有激烈的争吵，就像是保质期过了一样自然。
173,我放手
174,小王同学呀 想你了
175,初闻不知曲中意，再闻已是其中人😔
176,后来我也学不会如何去爱
177,后来，我们都是好孩子，可是我还有一颗坏心脏，因为那是我的童年[多多耍酷]
178,你知道么，你是我的网易云壁纸，每次一听这种歌，看见你，就会哭，我可是面临死亡都不会掉眼泪的人啊……
179,凭什么后来者居上
180,让你 让我的喜欢 让所有 都变成后来
181,今天和妈妈吃饭，她问我那时候天天和你聊天的小女生，现在还在嘛。
182,笑出声
183,谋爱先谋生 爱人先爱己，来日可期 钟爱自己❤️
184,后来，所有人的世界没有什么变化，有你有我。后来，我们的世界没有什么剩下，没你没我……
185,后来我发现 两个人不是相爱 就能在一起的
186,我今天 难过得哭不出声音[哀伤]
187,谁没有痴情过呢[呲牙]
188,我以为我们就算分开了 也会重新再回来 只是后来你终于还是接受了他
189,"三年 真的不想再继续了
木子 以后我都不要喜欢你了"
190,这首歌没有独秀和大钊们出现了
191,我男朋友，我培养了个半成品，过程艰辛啊，但我还是坚持下去
192,爱情就像魔鬼，相信的人多，遇见的人少。
193,后来。后来。
194,没关系的，时间再长一点就好了
195,陈皮皮我真的走了...
196,千言万语汇成一两个字：再见。
197,宝贝 累了吗？那为什么还不放手？
198,聊聊天吗  比如说就是安慰安慰我...
199,你也会幸福的
200,"我一直都在模仿你的习惯
走步的姿势 说话的语气 也在努力朝着你走过去 我希望后来的我会优秀 会遇见更优秀的你

——致白先生"
201,愿天下有情人都能眷属[爱心]
202,孟婆啊，多年以后，如果你遇见一个叫周小敏的女孩，请你转告她，有一个男孩好爱好爱她，请您在她的汤里加点糖，爱了这么久的人，我不想让她皱眉，下辈子，我还要遇见她，我真的很爱很爱她 [爱心]
203,心疼。人心真是复杂，明明珍惜感情，却还要互相伤害感情。
